hotel,feature,weight,sign_value,sign,method
HOTEL_1,rn_B,0.06448181,0.041967608,positivo,shap
HOTEL_1,rn_WEL,0.05826993,0.024320416,positivo,shap
HOTEL_1,rn_H,0.04513211,-0.035287,negativo,shap
HOTEL_1,rn_K,0.034282133,0.008304094,positivo,shap
HOTEL_1,rn_EX,0.013109448,-0.00914556,negativo,shap
HOTEL_1,rn_T,0.012954754,-0.009477327,negativo,shap
HOTEL_1,rn_J,0.005646812,0.0024606371,positivo,shap
HOTEL_1,rn_AV,0.0050047254,0.0023357004,positivo,shap
HOTEL_1,rn_C,0.004801746,0.002453723,positivo,shap
HOTEL_1,rn_TH,0.0037705011,0.0013863143,positivo,shap
HOTEL_1,rn_WEB,0.0029178304,-0.00034921392,negativo,shap
HOTEL_1,rn_TR,0.0027025945,-0.002498807,negativo,shap
HOTEL_1,season_spring,0.0015733031,-0.00028993923,negativo,shap
HOTEL_1,season_summer,0.00090814184,-0.00028080595,negativo,shap
HOTEL_1,rn_AL,0.00083167065,0.00022381204,positivo,shap
HOTEL_1,is_weekend,0.0008204623,-0.00014162087,negativo,shap
HOTEL_1,rn_EA,0.0006686887,-6.2138664e-05,negativo,shap
HOTEL_1,rn_O,0.0003867813,-0.0001004743,negativo,shap
HOTEL_1,season_winter,0.00029839508,-3.1101972e-06,negativo,shap
HOTEL_1,rn_L,0.0,0.0,positivo,shap
HOTEL_2,rn_T,0.09229894,-0.045551986,negativo,shap
HOTEL_2,rn_WEL,0.026345871,0.013673724,positivo,shap
HOTEL_2,rn_J,0.022745444,0.019527486,positivo,shap
HOTEL_2,rn_B,0.0177142,-0.0053208843,negativo,shap
HOTEL_2,rn_L,0.0143635655,-0.012613974,negativo,shap
HOTEL_2,rn_WEB,0.011892877,0.011892877,positivo,shap
HOTEL_2,rn_EA,0.011416119,0.0112756565,positivo,shap
HOTEL_2,season_summer,0.007877983,4.4176064e-05,positivo,shap
HOTEL_2,rn_EX,0.007802536,-0.0064742723,negativo,shap
HOTEL_2,season_winter,0.005317678,0.00029237074,positivo,shap
HOTEL_2,rn_O,0.0042390716,-0.0033426997,negativo,shap
HOTEL_2,season_spring,0.0016436963,-0.0007764852,negativo,shap
HOTEL_2,rn_AV,0.0013762794,-0.0010271841,negativo,shap
HOTEL_2,rn_TR,0.0007278346,-0.00033738717,negativo,shap
HOTEL_2,is_weekend,0.00067965325,3.6157682e-05,positivo,shap
HOTEL_2,rn_TH,0.00022136283,-0.00015252564,negativo,shap
HOTEL_2,rn_K,0.00018760619,-8.3468105e-05,negativo,shap
HOTEL_2,rn_AL,0.0,0.0,positivo,shap
HOTEL_2,rn_C,0.0,0.0,positivo,shap
HOTEL_2,rn_H,0.0,0.0,positivo,shap
HOTEL_3,rn_J,0.05196707,0.0073308726,positivo,shap
HOTEL_3,rn_WEL,0.018072985,-0.005031828,negativo,shap
HOTEL_3,rn_AV,0.016655976,-0.0049505844,negativo,shap
HOTEL_3,rn_T,0.015431757,-0.0065403343,negativo,shap
HOTEL_3,rn_AL,0.010082908,0.0045038597,positivo,shap
HOTEL_3,rn_TH,0.00828893,0.0009811142,positivo,shap
HOTEL_3,rn_TR,0.0076581566,0.00505033,positivo,shap
HOTEL_3,rn_B,0.0064419718,-0.003213218,negativo,shap
HOTEL_3,rn_EX,0.005112814,-0.003337457,negativo,shap
HOTEL_3,rn_O,0.0041741375,-0.00044044855,negativo,shap
HOTEL_3,rn_WEB,0.0037455405,0.00030980073,positivo,shap
HOTEL_3,rn_K,0.0016666551,-0.0004300058,negativo,shap
HOTEL_3,season_spring,0.0013751645,-9.437814e-05,negativo,shap
HOTEL_3,rn_L,0.0013241706,3.0041592e-05,positivo,shap
HOTEL_3,season_summer,0.00074951194,0.00023406364,positivo,shap
HOTEL_3,season_winter,0.00072525936,0.00012685818,positivo,shap
HOTEL_3,rn_EA,0.0005742155,8.064729e-05,positivo,shap
HOTEL_3,is_weekend,0.00018653965,-2.7273784e-06,negativo,shap
HOTEL_3,rn_C,0.0,0.0,positivo,shap
HOTEL_3,rn_H,0.0,0.0,positivo,shap
